,eva_asr,poi_asr,clean_acc
sga_GCN,0.61,0.628,0.5517014145851136
sga_SimPGCN,0.4779999999999999,0.548,0.39901207464324917
sga_H2GCN1,0.23399999999999999,0.238,0.38924259055982435
sga_H2GCN2,0.198,0.196,0.40076838638858403
sga_FAGCN,0.30399999999999994,0.41600000000000004,0.5006586169045005
MLP_GCN,0.542,0.626,0.5517014145851136
MLP_SimPGCN,0.5559999999999999,0.6220000000000001,0.39901207464324917
MLP_H2GCN1,0.12,0.168,0.38924259055982435
MLP_H2GCN2,0.13,0.188,0.40076838638858403
MLP_FAGCN,0.252,0.41,0.5006586169045005
SGC2_GCN,0.752,0.774,0.5517014145851136
SGC2_SimPGCN,0.6,0.624,0.39901207464324917
SGC2_H2GCN1,0.156,0.182,0.38924259055982435
SGC2_H2GCN2,0.172,0.20600000000000002,0.40076838638858403
SGC2_FAGCN,0.27199999999999996,0.352,0.5006586169045005
GCN2_GCN,0.78,0.8140000000000001,0.5517014145851136
GCN2_SimPGCN,0.6060000000000001,0.666,0.39901207464324917
GCN2_H2GCN1,0.168,0.188,0.38924259055982435
GCN2_H2GCN2,0.18,0.20999999999999996,0.40076838638858403
GCN2_FAGCN,0.27,0.38,0.5006586169045005
FastGCN_GCN,0.72,0.75,0.5517014145851136
FastGCN_SimPGCN,0.656,0.692,0.39901207464324917
FastGCN_H2GCN1,0.16200000000000003,0.184,0.38924259055982435
FastGCN_H2GCN2,0.162,0.2,0.40076838638858403
FastGCN_FAGCN,0.324,0.418,0.5006586169045005
MLP&SGC2_GCN,0.74,0.748,0.5517014145851136
MLP&SGC2_SimPGCN,0.662,0.65,0.39901207464324917
MLP&SGC2_H2GCN1,0.156,0.172,0.38924259055982435
MLP&SGC2_H2GCN2,0.16599999999999998,0.194,0.40076838638858403
MLP&SGC2_FAGCN,0.26,0.4,0.5006586169045005
MLP&GCN2_GCN,0.592,0.674,0.5517014145851136
MLP&GCN2_SimPGCN,0.5860000000000001,0.634,0.39901207464324917
MLP&GCN2_H2GCN1,0.152,0.182,0.38924259055982435
MLP&GCN2_H2GCN2,0.146,0.184,0.40076838638858403
MLP&GCN2_FAGCN,0.258,0.382,0.5006586169045005
MLP&SGC2_GCN,0.74,0.748,0.5517014145851136
MLP&SGC2_SimPGCN,0.662,0.65,0.39901207464324917
MLP&SGC2_H2GCN1,0.156,0.172,0.38924259055982435
MLP&SGC2_H2GCN2,0.16599999999999998,0.194,0.40076838638858403
MLP&SGC2_FAGCN,0.26,0.4,0.5006586169045005
MLP&GCN2_GCN,0.592,0.674,0.5517014145851136
MLP&GCN2_SimPGCN,0.5860000000000001,0.634,0.39901207464324917
MLP&GCN2_H2GCN1,0.152,0.182,0.38924259055982435
MLP&GCN2_H2GCN2,0.146,0.184,0.40076838638858403
MLP&GCN2_FAGCN,0.258,0.382,0.5006586169045005
SimPGCN_GCN,0.6140000000000001,0.6380000000000001,0.5517014145851136
SimPGCN_SimPGCN,0.612,0.612,0.39901207464324917
SimPGCN_H2GCN1,0.10200000000000001,0.124,0.38924259055982435
SimPGCN_H2GCN2,0.11400000000000002,0.14999999999999997,0.40076838638858403
SimPGCN_FAGCN,0.192,0.332,0.5006586169045005
