,eva_asr,poi_asr,clean_acc
sga_GCN,0.27199999999999996,0.32,0.26911184191703796
sga_SimPGCN,0.132,0.16,0.28740131578947364
sga_H2GCN1,0.014000000000000002,0.028000000000000004,0.3152631578947368
sga_H2GCN2,0.002,0.057999999999999996,0.3053947368421052
sga_FAGCN,0.11599999999999999,0.182,0.32302631578947366
MLP_GCN,0.304,0.358,0.26911184191703796
MLP_SimPGCN,0.188,0.194,0.28740131578947364
MLP_H2GCN1,0.014000000000000002,0.036,0.3152631578947368
MLP_H2GCN2,0.002,0.05,0.3053947368421052
MLP_FAGCN,0.11200000000000002,0.16999999999999998,0.32302631578947366
SGC2_GCN,0.21000000000000002,0.26799999999999996,0.26911184191703796
SGC2_SimPGCN,0.08,0.11000000000000001,0.28740131578947364
SGC2_H2GCN1,0.012,0.019999999999999997,0.3152631578947368
SGC2_H2GCN2,0.002,0.04,0.3053947368421052
SGC2_FAGCN,0.05,0.122,0.32302631578947366
GCN2_GCN,0.24400000000000005,0.292,0.26911184191703796
GCN2_SimPGCN,0.15,0.152,0.28740131578947364
GCN2_H2GCN1,0.014000000000000002,0.02,0.3152631578947368
GCN2_H2GCN2,0.01,0.033999999999999996,0.3053947368421052
GCN2_FAGCN,0.076,0.138,0.32302631578947366
FastGCN_GCN,0.24800000000000005,0.27999999999999997,0.26911184191703796
FastGCN_SimPGCN,0.10400000000000001,0.11200000000000002,0.28740131578947364
FastGCN_H2GCN1,0.01,0.022,0.3152631578947368
FastGCN_H2GCN2,0.002,0.027999999999999997,0.3053947368421052
FastGCN_FAGCN,0.07799999999999999,0.134,0.32302631578947366
