,acc,wlacc
dw_ce_False_0.05_0,0.76,0.38
dw_ce_False_0.05_1,0.76,0.38
dw_ce_False_0.05_2,0.76,0.38
dw_ce_True_0.05_0,0.74,0.68
dw_ce_True_0.05_1,0.74,0.68
dw_ce_True_0.05_2,-1,-1
spread_ce_False_0.05,0.6,0.5
spread_ce_True_0.05,0.78,0.68
n2v_ce_False_0.05_0.5_0.25,0.46,0.4
n2v_ce_False_0.05_0.5_2.0,0.44,0.38
n2v_ce_False_0.05_2.0_0.25,0.46,0.38
n2v_ce_False_0.05_2.0_2.0,0.4,0.3
n2v_ce_True_0.05_0.5_0.25,0.6,0.58
n2v_ce_True_0.05_0.5_2.0,0.68,0.66
n2v_ce_True_0.05_2.0_0.25,0.56,0.5
n2v_ce_True_0.05_2.0_2.0,-1,-1
ppr_wl_False_0.05_0.5,0.62,0.56
ppr_wl_False_0.05_0.25,0.58,0.56
ppr_wl_False_0.05_0.1,-1,-1
ppr_wl_False_0.05_0.05,0.74,0.74
ppr_wl_False_0.05_0.01,0.84,0.84
ppr_topk_des_False_0.05_0.5,0.62,0.46
ppr_topk_des_False_0.05_0.25,0.62,0.52
ppr_topk_des_False_0.05_0.1,-1,-1
ppr_topk_des_False_0.05_0.05,-1,-1
ppr_topk_des_False_0.05_0.01,0.6,0.52
ppr_topk_asc_False_0.05_0.5,-1,-1
ppr_topk_asc_False_0.05_0.25,0.6,0.5
ppr_topk_asc_False_0.05_0.1,-1,-1
ppr_topk_asc_False_0.05_0.05,0.66,0.6
ppr_topk_asc_False_0.05_0.01,0.6,0.44
