,eva_asr,poi_asr,clean_acc
sga_GCN,0.554,0.558,0.3737082540988922
sga_SimPGCN,0.532,0.6359999999999999,0.27128094208123044
sga_H2GCN1,0.11199999999999999,0.10200000000000001,0.24647921172795
sga_H2GCN2,0.124,0.128,0.2582071617399664
sga_FAGCN,0.394,0.524,0.3097332372025955
MLP_GCN,0.5720000000000001,0.604,0.3737082540988922
MLP_SimPGCN,0.5840000000000001,0.674,0.27128094208123044
MLP_H2GCN1,0.09,0.098,0.24647921172795
MLP_H2GCN2,0.12,0.136,0.2582071617399664
MLP_FAGCN,0.35600000000000004,0.43200000000000005,0.3097332372025955
SGC2_GCN,0.5519999999999999,0.562,0.3737082540988922
SGC2_SimPGCN,0.594,0.65,0.27128094208123044
SGC2_H2GCN1,0.078,0.082,0.24647921172795
SGC2_H2GCN2,0.10200000000000001,0.10800000000000001,0.2582071617399664
SGC2_FAGCN,0.30400000000000005,0.368,0.3097332372025955
GCN2_GCN,0.5700000000000001,0.5780000000000001,0.3737082540988922
GCN2_SimPGCN,0.616,0.6679999999999999,0.27128094208123044
GCN2_H2GCN1,0.074,0.08,0.24647921172795
GCN2_H2GCN2,0.11199999999999999,0.11399999999999999,0.2582071617399664
GCN2_FAGCN,0.35000000000000003,0.41600000000000004,0.3097332372025955
FastGCN_GCN,0.524,0.5660000000000001,0.3737082540988922
FastGCN_SimPGCN,0.43600000000000005,0.5459999999999999,0.27128094208123044
FastGCN_H2GCN1,0.08199999999999999,0.088,0.24647921172795
FastGCN_H2GCN2,0.118,0.142,0.2582071617399664
FastGCN_FAGCN,0.296,0.32599999999999996,0.3097332372025955
MLP&SGC2_GCN,0.5379999999999999,0.572,0.3737082540988922
MLP&SGC2_SimPGCN,0.602,0.668,0.27128094208123044
MLP&SGC2_H2GCN1,0.086,0.092,0.24647921172795
MLP&SGC2_H2GCN2,0.12,0.124,0.2582071617399664
MLP&SGC2_FAGCN,0.356,0.422,0.3097332372025955
MLP&GCN2_GCN,0.576,0.5940000000000001,0.3737082540988922
MLP&GCN2_SimPGCN,0.62,0.664,0.27128094208123044
MLP&GCN2_H2GCN1,0.078,0.08399999999999999,0.24647921172795
MLP&GCN2_H2GCN2,0.11599999999999999,0.122,0.2582071617399664
MLP&GCN2_FAGCN,0.364,0.41999999999999993,0.3097332372025955
MLP&SGC2_GCN,0.5379999999999999,0.572,0.3737082540988922
MLP&SGC2_SimPGCN,0.602,0.668,0.27128094208123044
MLP&SGC2_H2GCN1,0.086,0.092,0.24647921172795
MLP&SGC2_H2GCN2,0.12,0.124,0.2582071617399664
MLP&SGC2_FAGCN,0.356,0.422,0.3097332372025955
MLP&GCN2_GCN,0.576,0.5940000000000001,0.3737082540988922
MLP&GCN2_SimPGCN,0.62,0.664,0.27128094208123044
MLP&GCN2_H2GCN1,0.078,0.08399999999999999,0.24647921172795
MLP&GCN2_H2GCN2,0.11599999999999999,0.122,0.2582071617399664
MLP&GCN2_FAGCN,0.364,0.41999999999999993,0.3097332372025955
