,eva_asr,poi_asr,clean_acc
sga_SVM_TEDGE,0.53,0.094,0.8
sga_SVM_TBS,0.578,0.086,0.790561797752809
sga_SVM_WBS,0.522,0.09,0.8085393258426967
sga_SVM_TBS+WBS,0.734,0.098,0.81438202247191
MLP_SVM_TEDGE,0.538,0.092,0.8
MLP_SVM_TBS,0.58,0.088,0.790561797752809
MLP_SVM_WBS,0.5279999999999999,0.088,0.8085393258426967
MLP_SVM_TBS+WBS,0.716,0.1,0.81438202247191
SGC2_SVM_TEDGE,0.52,0.092,0.8
SGC2_SVM_TBS,0.616,0.074,0.790561797752809
SGC2_SVM_WBS,0.5319999999999999,0.096,0.8085393258426967
SGC2_SVM_TBS+WBS,0.7060000000000001,0.09,0.81438202247191
GCN2_SVM_TEDGE,0.5079999999999999,0.094,0.8
GCN2_SVM_TBS,0.6020000000000001,0.096,0.790561797752809
GCN2_SVM_WBS,0.53,0.10400000000000001,0.8085393258426967
GCN2_SVM_TBS+WBS,0.682,0.096,0.81438202247191
FastGCN_SVM_TEDGE,0.6,0.094,0.8
FastGCN_SVM_TBS,0.634,0.1,0.790561797752809
FastGCN_SVM_WBS,0.5039999999999999,0.098,0.8085393258426967
FastGCN_SVM_TBS+WBS,0.7,0.08600000000000001,0.81438202247191
MLP&SGC2_SVM_TEDGE,0.546,0.096,0.8
MLP&SGC2_SVM_TBS,0.608,0.086,0.790561797752809
MLP&SGC2_SVM_WBS,0.5660000000000001,0.10400000000000001,0.8085393258426967
MLP&SGC2_SVM_TBS+WBS,0.6739999999999999,0.086,0.81438202247191
MLP&GCN2_SVM_TEDGE,0.55,0.094,0.8
MLP&GCN2_SVM_TBS,0.5800000000000001,0.098,0.790561797752809
MLP&GCN2_SVM_WBS,0.538,0.09,0.8085393258426967
MLP&GCN2_SVM_TBS+WBS,0.6659999999999999,0.08600000000000001,0.81438202247191
