,eva_asr,poi_asr,clean_acc
sga_OCSVM_TBS+WBS,0.4800000000000001,0.048,0.8629213483146068
sga_SVM_TBS+WBS,0.602,0.15000000000000002,0.7820224719101123
MLP_OCSVM_TBS+WBS,0.46799999999999997,0.033999999999999996,0.8629213483146068
MLP_SVM_TBS+WBS,0.612,0.13599999999999998,0.7820224719101123
SGC2_OCSVM_TBS+WBS,0.47000000000000003,0.03,0.8629213483146068
SGC2_SVM_TBS+WBS,0.616,0.162,0.7820224719101123
GCN2_OCSVM_TBS+WBS,0.4800000000000001,0.038,0.8629213483146068
GCN2_SVM_TBS+WBS,0.5920000000000001,0.174,0.7820224719101123
FastGCN_OCSVM_TBS+WBS,0.484,0.039999999999999994,0.8629213483146068
FastGCN_SVM_TBS+WBS,0.6519999999999999,0.14600000000000002,0.7820224719101123
MLP&SGC2_SVM_TBS+WBS,0.608,0.15000000000000002,0.7820224719101123
MLP&GCN2_SVM_TBS+WBS,0.6300000000000001,0.14200000000000002,0.7820224719101123
MLP&SGC2_OCSVM_TBS+WBS,0.45600000000000007,0.026000000000000002,0.8629213483146068
MLP&GCN2_OCSVM_TBS+WBS,0.47000000000000003,0.034,0.8629213483146068
